"room_type","neighbourhood","bookedroom_percentage"
Entire home/apt,Westerpark,74
Private room,Centrum-Oost,44
Private room,Oud-Noord,5
Private room,De Pijp - Rivierenbuurt,72
Entire home/apt,Oud-Oost,81
Private room,Centrum-West,59
Entire home/apt,De Baarsjes - Oud-West,85
Entire home/apt,Oud-Noord,85
Private room,Westerpark,27
Private room,Oostelijk Havengebied - Indische Buurt,92
Entire home/apt,Geuzenveld - Slotermeer,57
Private room,Watergraafsmeer,54
Entire home/apt,Oostelijk Havengebied - Indische Buurt,86
Private room,Gaasperdam - Driemond,65
Entire home/apt,Bos en Lommer,70
Private room,Zuid,70
Entire home/apt,Zuid,79
Entire home/apt,De Pijp - Rivierenbuurt,75
Entire home/apt,Centrum-Oost,66
Private room,De Baarsjes - Oud-West,65
Private room,Slotervaart,6
Entire home/apt,Noord-Oost,3
Entire home/apt,IJburg - Zeeburgereiland,1
Entire home/apt,Buitenveldert - Zuidas,99
Private room,Oud-Oost,49
Entire home/apt,Centrum-West,63
Private room,Bos en Lommer,59
Entire home/apt,Watergraafsmeer,72
Entire home/apt,Slotervaart,13
