"area","total_listing","avg_harga","avg_review"
Centrum-West,2326,189.92,33.09
Centrum-Oost,1730,189.38,28.66
Zuid,1441,171.13,17.59
IJburg - Zeeburgereiland,452,165.16,17.85
Oud-Noord,571,157.68,21.68
De Pijp - Rivierenbuurt,2493,157.18,19.27
Buitenveldert - Zuidas,262,153.09,12.02
De Baarsjes - Oud-West,3515,143.85,19.35
Oud-Oost,1282,143.40,16.90
Westerpark,1490,141.00,19.11
Watergraafsmeer,552,137.51,15.75
Oostelijk Havengebied - Indische Buurt,959,126.09,19.67
Geuzenveld - Slotermeer,212,125.74,18.39
De Aker - Nieuw Sloten,142,124.71,30.64
Noord-West,320,120.17,23.31
Noord-Oost,257,118.64,22.70
Bos en Lommer,1145,117.00,18.37
Slotervaart,393,115.09,21.01
Bijlmer-Oost,96,101.60,23.47
Osdorp,159,97.91,24.37
Gaasperdam - Driemond,122,92.12,23.07
Bijlmer-Centrum,111,91.22,25.52
