"month","total_sales","season_type"
Sep 2023,18579445.46,Low Period
Oct 2023,4995659.47,Low Period
Nov 2023,14492093.3,Low Period
Dec 2023,4398141.07,Low Period
Jan 2024,6510526.23,Low Period
Feb 2024,10712906.42,Low Period
Mar 2024,11369430.56,Low Period
Apr 2024,4774408.56,Low Period
May 2024,7459589.95,Low Period
Jun 2024,5138140.33,Low Period
Jul 2024,4349124.84,Low Period
Aug 2024,15216780.99,Low Period
Sep 2024,5490309.43,Low Period
Oct 2024,6067300.75,Low Period
Nov 2024,7345054.07,Low Period
Dec 2024,5154924.24,Low Period
Jan 2025,24329794.05,Low Period
Feb 2025,229818767.81,Peak Period
Mar 2025,406869549.32,Peak Period
Apr 2025,17089365.36,Low Period
May 2025,92097033.3999998,Peak Period
Jun 2025,12567536.06,Low Period
Jul 2025,6791334.3,Low Period
Aug 2025,6847433.59,Low Period
Sep 2025,10868778.56,Low Period
Oct 2025,9689830.01,Low Period
Nov 2025,4595584.89,Low Period
Dec 2025,7601221.41,Low Period
