"Retailer_ID","recency","frequency","monetary","r_score","f_score","m_score","total_rfm_score","segmentasi"
RTL3430,27,4,13001.54,4,1,1,6,hibernating
RTL3556,278,4,12419.3,2,1,1,4,lost
RTL2682,365,1,257.36,1,1,1,3,lost
RTL4825,658,1,4855.38,1,1,1,3,lost
RTL2236,222,4,3979.26,2,1,1,4,lost
RTL2999,658,2,12196.2,1,1,1,3,lost
RTL2750,93,2,8478.6,3,1,1,5,hibernating
RTL1007,220,2,2760.4,2,1,1,4,lost
RTL1565,537,2,2933.71,1,1,1,3,lost
RTL2883,416,1,193.3,1,1,1,3,lost
RTL1321,245,1,10364.14,2,1,1,4,lost
RTL2553,101,3,18424.94,3,1,1,5,hibernating
RTL2518,476,2,20595.05,1,1,1,3,lost
RTL3976,395,2,13297.4,1,1,1,3,lost
RTL4512,136,2,4457.54,3,1,1,5,hibernating
RTL4073,123,3,18724.13,3,1,1,5,hibernating
RTL1628,241,2,442545.95,2,1,4,7,at risk
RTL1945,214,3,8271.3,2,1,1,4,lost
RTL1865,261,3,6982.26,2,1,1,4,lost
RTL3615,612,1,8998.92,1,1,1,3,lost
RTL1537,776,1,562.73,1,1,1,3,lost
RTL4607,307,1,8116.8,1,1,1,3,lost
RTL1210,366,1,2656.85,1,1,1,3,lost
RTL1166,744,1,12990.24,1,1,1,3,lost
RTL1939,497,2,15021.23,1,1,1,3,lost
RTL3585,199,2,2550.48,2,1,1,4,lost
RTL1201,26,3,676758.48,4,1,4,9,loyal
RTL1409,177,4,7867.65,2,1,1,4,lost
RTL4933,19,1,156.61,4,1,1,6,hibernating
RTL2890,115,4,13953.71,3,1,1,5,hibernating
RTL4848,359,1,1839.72,1,1,1,3,lost
RTL2277,220,3,3809.09,2,1,1,4,lost
RTL2037,309,2,14066.25,1,1,1,3,lost
RTL4508,256,3,8672.68,2,1,1,4,lost
RTL4688,230,2,9835.5,2,1,1,4,lost
RTL1450,100,2,451.84,3,1,1,5,hibernating
RTL2818,241,1,476.32,2,1,1,4,lost
RTL3223,327,4,10222.78,1,1,1,3,lost
RTL1803,646,1,5639.45,1,1,1,3,lost
RTL4901,628,3,4775.44,1,1,1,3,lost
RTL2694,115,1,624.62,3,1,1,5,hibernating
RTL2449,221,4,27840.64,2,1,1,4,lost
RTL1937,229,2,12617.43,2,1,1,4,lost
RTL3885,113,4,5033.49,3,1,1,5,hibernating
RTL2708,262,2,1824.23,2,1,1,4,lost
RTL3560,238,4,23470.39,2,1,1,4,lost
RTL1550,308,2,130.58,1,1,1,3,lost
RTL1916,124,6,22406.96,3,1,1,5,hibernating
RTL3908,161,5,14502.69,2,1,1,4,lost
RTL4074,350,2,12387.54,1,1,1,3,lost
RTL4746,627,3,8254.97,1,1,1,3,lost
RTL1485,73,3,1878853.23,3,1,4,8,at risk
RTL3619,575,2,7374.01,1,1,1,3,lost
RTL1578,244,2,7184.41,2,1,1,4,lost
RTL3173,150,2,4774.42,3,1,1,5,hibernating
RTL4071,136,2,8934.14,3,1,1,5,hibernating
RTL1302,787,2,14866.6,1,1,1,3,lost
RTL2183,249,3,9253.62,2,1,1,4,lost
RTL3442,49,2,766.92,4,1,1,6,hibernating
RTL2897,17,3,17659.14,4,1,1,6,hibernating
RTL4140,220,4,35312.44,2,1,1,4,lost
RTL4878,211,2,1499.44,2,1,1,4,lost
RTL2456,81,3,15051.14,3,1,1,5,hibernating
RTL1034,698,1,1338.63,1,1,1,3,lost
RTL2340,282,3,5045.85,2,1,1,4,lost
RTL4159,124,3,14034.78,3,1,1,5,hibernating
RTL1452,94,5,13115.03,3,1,1,5,hibernating
RTL2785,60,1,9624.42,3,1,1,5,hibernating
RTL3586,238,4,20409.86,2,1,1,4,lost
RTL4794,237,2,2922.24,2,1,1,4,lost
RTL4096,256,2,14802.17,2,1,1,4,lost
RTL2869,300,2,6908.98,2,1,1,4,lost
RTL3861,127,2,14138.34,3,1,1,5,hibernating
RTL2856,678,2,7685.0,1,1,1,3,lost
RTL3934,264,4,10849.87,2,1,1,4,lost
RTL2090,27,2,21102.13,4,1,1,6,hibernating
RTL1861,77,3,18167.38,3,1,1,5,hibernating
RTL2109,221,2,630.04,2,1,1,4,lost
RTL3727,10,5,25270.4,4,1,1,6,hibernating
RTL3670,782,2,7923.65,1,1,1,3,lost
RTL2914,374,2,20104.94,1,1,1,3,lost
RTL2264,342,2,5300.18,1,1,1,3,lost
RTL3334,562,1,3942.38,1,1,1,3,lost
RTL3135,743,1,884.3,1,1,1,3,lost
RTL1665,628,1,3627.68,1,1,1,3,lost
RTL4728,217,4,3799669.05,2,1,4,7,at risk
RTL3048,105,2,1633.7,3,1,1,5,hibernating
RTL3071,121,3,22984.27,3,1,1,5,hibernating
RTL4260,222,5,13531.33,2,1,1,4,lost
RTL2430,201,4,20330.5,2,1,1,4,lost
RTL4627,68,4,29074.95,3,1,1,5,hibernating
RTL2807,798,2,4191.51,1,1,1,3,lost
RTL1347,528,2,6605.55,1,1,1,3,lost
RTL4903,160,6,36107.18,2,1,1,4,lost
RTL3693,201,1,2342.92,2,1,1,4,lost
RTL1522,233,5,8296.11,2,1,1,4,lost
RTL3045,333,2,9829.69,1,1,1,3,lost
RTL4847,326,4,16967.35,1,1,1,3,lost
RTL1049,211,1,4531.56,2,1,1,4,lost
RTL4827,270,1,23.49,2,1,1,4,lost
RTL2855,224,4,10146.51,2,1,1,4,lost
RTL1377,111,2,1055853.73,3,1,4,8,at risk
RTL1806,139,2,2985.22,3,1,1,5,hibernating
RTL1246,49,5,33913.45,4,1,1,6,hibernating
RTL4179,82,2,5972.98,3,1,1,5,hibernating
RTL2441,200,3,3585.83,2,1,1,4,lost
RTL1171,98,4,14369.48,3,1,1,5,hibernating
RTL3698,786,1,232.66,1,1,1,3,lost
RTL2377,171,2,4036.9,2,1,1,4,lost
RTL2263,296,2,4658.7,2,1,1,4,lost
RTL3308,240,3,8469.2,2,1,1,4,lost
RTL3795,5,3,2951.09,4,1,1,6,hibernating
RTL2265,2,5,37215.34,4,1,1,6,hibernating
RTL1281,162,3,9483.9,2,1,1,4,lost
RTL2578,248,1,3878.43,2,1,1,4,lost
RTL3284,262,6,5891.28,2,1,1,4,lost
RTL1432,25,3,18254.58,4,1,1,6,hibernating
RTL3248,181,1,273.78,2,1,1,4,lost
RTL1652,687,1,6817.95,1,1,1,3,lost
RTL3459,63,3,5247.04,3,1,1,5,hibernating
RTL3817,245,3,2068.93,2,1,1,4,lost
RTL1397,28,3,20629.41,4,1,1,6,hibernating
RTL2035,811,2,213481.3,1,1,3,5,hibernating
RTL1330,267,2,2505.01,2,1,1,4,lost
RTL4347,275,2,4264.69,2,1,1,4,lost
RTL3937,688,1,2087.01,1,1,1,3,lost
RTL1300,316,4,10102.05,1,1,1,3,lost
RTL2547,553,1,1325.75,1,1,1,3,lost
RTL3265,319,4,25539.73,1,1,1,3,lost
RTL3375,312,1,2921.79,1,1,1,3,lost
RTL1343,357,3,2206.43,1,1,1,3,lost
RTL4161,191,3,2719.17,2,1,1,4,lost
RTL4025,587,2,1416.76,1,1,1,3,lost
RTL3850,472,1,1198.8,1,1,1,3,lost
RTL3520,436,1,18.0,1,1,1,3,lost
RTL1308,90,4,11993.65,3,1,1,5,hibernating
RTL3277,215,2,12705.37,2,1,1,4,lost
RTL1999,121,1,394.0,3,1,1,5,hibernating
RTL3549,102,3,7551.7,3,1,1,5,hibernating
RTL1426,198,6,15719.77,2,1,1,4,lost
RTL1653,281,2,6572.36,2,1,1,4,lost
RTL1257,238,3,4299.77,2,1,1,4,lost
RTL1844,199,3,20033.47,2,1,1,4,lost
RTL3345,250,1,4009.2,2,1,1,4,lost
RTL1459,165,6,24027.59,2,1,1,4,lost
