id,date,category,qty,year,month,day_of_month,day_of_week,week_of_year,quarter,is_weekend,day_name,is_payday_period,event_harbolnas,event_ramadan,inflation_rate,usd_idr_rate,fuel_price,consumer_confidence_index,avg_price,revenue,is_holiday,event_eid,category_group,lag_1_qty,lag_7_qty,rolling_avg_7_qty,lag_1_revenue,lag_7_revenue,rolling_avg_7_revenue
19272,1/11/2013,AUTOMOTIVE,4.0,,,,,,,,,,,0,8.38,12039.00,6500.00,108.50,25000.00,,0,0,Automotive,,,,,,
953040,6/20/2014,AUTOMOTIVE,4.0,,,,,,,,,,,0,8.36,12440.00,8500.00,112.00,25000.00,,0,0,Automotive,,,,,,
1452,1/1/2013,AUTOMOTIVE,0.0,,,,,,,,,,,0,8.38,12039.00,6500.00,108.50,25000.00,,1,0,Automotive,,,,,,
26400,1/15/2013,AUTOMOTIVE,1.0,,,,,,,,,,,0,8.38,12039.00,6500.00,108.50,25000.00,,0,0,Automotive,,,,,,
5016,1/3/2013,AUTOMOTIVE,5.0,,,,,,,,,,,0,8.38,12039.00,6500.00,108.50,25000.00,,0,0,Automotive,,,,,,
8580,1/5/2013,AUTOMOTIVE,6.0,,,,,,,,,,,0,8.38,12039.00,6500.00,108.50,25000.00,,1,0,Automotive,,,,,,
10362,1/6/2013,AUTOMOTIVE,12.0,,,,,,,,,,,0,8.38,12039.00,6500.00,108.50,25000.00,,1,0,Automotive,,,,,,
58476,2/2/2013,AUTOMOTIVE,17.0,,,,,,,,,,,0,8.38,12069.00,6500.00,108.80,25000.00,,1,0,Automotive,,,,,,
12144,1/7/2013,AUTOMOTIVE,7.0,,,,,,,,,,,0,8.38,12039.00,6500.00,108.50,25000.00,,0,0,Automotive,,,,,,
13926,1/8/2013,AUTOMOTIVE,5.0,,,,,,,,,,,0,8.38,12039.00,6500.00,108.50,25000.00,,0,0,Automotive,,,,,,
15708,1/9/2013,AUTOMOTIVE,5.0,,,,,,,,,,,0,8.38,12039.00,6500.00,108.50,25000.00,,0,0,Automotive,,,,,,
